246835,237768,248265,257544,253545,258112,248898,255123,248988,251201,249165,250309,244792,245151,246203,226907
230031,228554,224997,225464,226916,252364,248075,249485,239208,233303,236798,233946,235430,226929,228783,226376
257108,256485,223769,228049,224390,224452,220822,220896,227686,220132,218918,215632,215639,212948,210087,212262
245765,251034,242135,218356,214152,216642,215127,200644,180958,190417,201880,199021,199954,191892,183922,198106
248399,238254,228842,222568,242000,225434,211172,205308,182520,177661,189008,156556,150908,146966,147862,152928
218775,250142,242685,227205,212404,211925,203841,209778,168699,165267,163799,160369,160226,159336,137817,135316
215478,188952,184483,197120,183193,181632,190208,210075,159950,155205,156304,151547,151215,150356,146908,144938
210384,216852,212126,212398,212387,207456,183516,182695,136555,128504,129492,125560,143793,139969,132959,133602
212101,210712,210596,201570,207903,203435,204182,198645,142319,135584,136955,118638,116088,116913,111828,107673
184440,192362,199983,204295,205997,198956,197834,192359,131026,132543,129625,124835,123150,117762,116300,117160
